,EBS_GA,Ensemble,LSA,MaTGA,MFEA,MTEA_AD,S-MFEA,S-MFEA-KL,SBS_GA,,,,,,,,,,,
150,373.2610203,97.39071774,212.532758,100.2874346,491.6721387,29368.79688,80.69123823,117.699725,369.6814548,,,,,,,,,,,
151,377.5438775,101.3688515,171.8635006,97.13321041,494.3728447,30225.92883,103.8095465,115.6581399,368.3134429,,,,,,,,,,,
152,382.1249933,77.8305716,129.1747238,95.50339082,487.9846371,29375.03537,123.4526148,100.512259,368.3906824,,,,,,,,,,,
153,371.1708723,73.02912195,180.2271044,91.72923889,496.7789268,29919.26313,138.6704275,122.5631628,345.1043321,,,,,,,,,,,
154,343.4907742,90.11771268,190.909555,93.45660074,505.068674,29851.79325,108.9376677,107.4831523,364.3374339,,,,,,,,,,,
155,371.284846,93.11477087,135.8219318,98.25477411,514.5546987,29242.16164,119.5699495,92.19185423,352.8213009,,,,,,,,,,,
156,336.2798948,84.09762998,209.3750914,92.8331212,486.3127465,29734.32054,96.99915826,84.741159,364.1938854,,,,,,,,,,,
157,366.5627721,81.53223003,175.9641674,102.7281498,502.8454666,29562.43033,108.6242548,91.70210612,355.061697,,,,,,,,,,,
158,361.9565269,101.8790663,221.0627285,98.20022777,498.7704063,28778.06741,104.4850365,107.323327,352.6731829,,,,,,,,,,,
159,361.8003493,73.15881171,212.0104459,93.75071777,489.7043831,30284.19059,89.07089348,119.4242675,377.4826486,,,,,,,,,,,
160,373.333315,81.31842416,269.8441046,92.54777097,511.021045,29664.64353,95.11140185,118.6144984,351.1365816,,,,,,,,,,,
161,339.0630417,91.08695994,222.4387911,95.44021405,514.5093865,30541.61338,87.08247089,96.16254097,363.2159985,,,,,,,,,,,
162,340.9791869,74.417512,219.1860803,95.92983866,510.7416636,29773.35046,110.2653338,84.18937223,357.7545413,,,,,,,,,,,
163,383.0916733,105.3853294,185.2907162,103.8200478,538.8063238,29825.71026,99.23875401,98.23939264,368.7850432,,,,,,,,,,,
164,369.4976946,119.4569932,191.0848624,97.59479392,502.9411747,29591.16088,149.1973507,113.4656143,356.0099646,,,,,,,,,,,
165,360.3638777,84.18691848,209.19204,94.28519464,530.229098,29802.69865,100.9999172,91.59033612,370.7287223,,,,,,,,,,,
166,330.5345199,85.54085508,222.9534146,99.16776715,527.9423046,29681.35019,97.6552389,107.7935265,364.7997313,,,,,,,,,,,
167,358.2039491,80.99721161,168.2010718,96.70335173,494.8264445,29783.57844,90.44958239,97.46076121,355.6883545,,,,,,,,,,,
168,353.2864223,76.51477776,148.4236349,85.70843216,478.0515746,28868.97215,122.5991024,117.8725207,361.7022435,,,,,,,,,,,
169,325.3062452,77.8476443,219.7408927,98.45620548,551.1163412,29522.99798,108.1344569,104.8678926,364.8678373,,,,,,,,,,,
170,353.0209761,78.29246202,175.6948209,98.64783719,494.5496267,29591.28475,146.8001355,105.025153,354.9845024,,,,,,,,,,,
171,355.5744731,84.12593449,157.4425357,97.49177335,504.0126402,29481.88762,112.830675,81.66574733,364.7594324,,,,,,,,,,,
