,EBS_GA,Ensemble,LSA,MaTGA,MFEA,MTEA_AD,S-MFEA,S-MFEA-KL,SBS_GA
36,1.184438878136025e-05,0.0,0.03974568215642247,0.0037698210724998733,15.306520763841847,118202.73014978027,0.0,0.0,1.800003464114558e-05
37,1.2373724978349402e-05,0.0,0.0,0.005014217523575224,17.284503937224926,114931.40411275442,0.0,0.0,1.853191004414113e-05
38,1.0998484069036659e-05,0.0,0.0,0.0036794255969750415,16.77578180985046,116856.8573997361,0.0,0.0,1.7087025446611666e-05
39,1.0949628453427215e-05,0.0,0.0,0.004174215026566564,17.237149097444497,116840.3329154252,0.0,0.0,1.8917060024518977e-05
40,1.064629805637664e-05,0.0,0.0,0.004451808294142336,16.458437911759304,118929.66766569471,0.0,0.0,1.7337646989455243e-05
41,1.2699256763857592e-05,0.0,0.0,0.004428205777451764,16.513809605724017,116509.92557203025,0.0,0.0,1.8113586080696816e-05
42,1.1625005110136294e-05,0.0,0.0,0.004175843916367119,17.46131198322008,116544.3436516831,0.0,0.0,1.8676983125701025e-05
43,1.1652554916143978e-05,0.0,0.0,0.005178066937875842,16.51516706963611,117416.85450577925,0.0,0.0,1.595511414760564e-05
44,1.1632530170453459e-05,0.0,0.0,0.0037704407720714583,16.415415617960715,118086.24723932755,0.0,0.0,1.9514895511518665e-05
45,1.2205437592345095e-05,0.0,0.0,0.00408182607078669,17.41270762055888,115664.44555657174,0.0,0.0,1.6508105654443455e-05
46,1.153821178428429e-05,0.0,0.0,0.00406993592936361,17.02806521901471,115716.3856059937,0.0,0.0,1.9560949894896355e-05
47,1.3094783992164439e-05,0.0,0.0,0.004140367384343451,15.957930460251204,116707.23752037938,0.0,0.0,2.0348102132701495e-05
48,1.2699202167562229e-05,0.0,0.0,0.003974873135611488,18.336216980127283,116247.57703623796,0.0,0.0,1.7666249875041827e-05
49,1.2095021371773654e-05,0.0,0.0,0.003919095274599007,16.273267607576205,116831.17596158678,0.0,0.0,1.7363154604826652e-05
50,0.11751658316216974,0.0,0.0,0.029396387446028346,20.144513817582993,21.406402694061207,0.0,0.0,0.003041764973382081
51,361.47916544035684,153.86237974015498,118.33990685952118,97.00749158761725,633.8599977440537,36354.61219540678,119.46357012540423,121.07264915674116,361.9910381973848
52,0.000653091458038568,0.0,0.0008216540702843352,0.007829841971424582,0.5719112629791161,37.48228696967735,0.0,0.0,0.0007892263421363188
53,4.060836606653609,10.89093684388441,16.34640698588669,4.956634192705526,48.40116949465596,42.56480233704017,15.39819362902156,16.331235453907688,4.5355844871435105
54,10919.347969937453,5022.383910351671,5594.8082069934935,7077.0883103161195,6007.007178712888,16896.952521640163,4643.363524652047,4884.974966808129,11941.88456901027
55,0.1041458239819306,0.0,0.0,0.05674142154940109,20.167432170532493,21.407091383821736,0.0,0.0,0.0034612378748183855
56,360.7919462995935,112.87549027930837,118.8183734569137,93.51509780920013,638.2873343657772,36240.04586522922,118.5700827327166,115.84417599727179,326.4574115146915
57,0.0006501336621492184,0.0,0.001232025471500894,0.00601955457472314,0.5887035756644268,36.39038662749542,0.0008218921245188304,0.0,0.0008546702407775826
58,3.818758950320512,12.390112112061194,16.538636313928816,6.282398546366637,49.16388248061729,42.71663331492868,15.870904665659985,16.75211486784716,3.995143408082668
59,11316.536303447467,4979.867544527356,6005.152592022911,7651.803447572899,6319.484681123528,16852.805075769375,4463.532724462861,4535.590670893155,11480.720228722957
60,0.08302624851621458,0.029992821620212846,0.0,0.02382711647262181,19.643880898999367,21.404700317184698,0.0,0.0,0.004137256738811283
61,349.5708487548107,128.01245474237024,131.50245725901007,97.55098496508985,628.6263407225291,35946.32720836284,115.62196813151614,95.33460781700198,366.2749787532119
62,0.0005950335164992584,0.0,0.0,0.005713786905547411,0.5648545082283932,38.31015781285229,0.00024653492278268183,0.0,0.0008589105544138432
63,4.241614749458518,12.684813569298486,16.32898224250367,5.5331491095199405,47.47139942438397,42.740712791472355,16.157574972945692,15.318750610072772,4.234099855142602
